CloneGroupType,X2,EachGroup_25Percentile,CloneGroupMin,CloneGroupMax,EachGroup_Mean,EachGroup_Median,CloneGroupVariance,EachGroup_SD,X10,ShanonEntropy
1,Blocks,1,-5,1519,4.929433,1,1520.325,38.99135,3812,NaN
2,Blocks,1,1,1,1,1,0,0,2,1
3,Blocks,0.5,0,9,3.333333,1,24.33333,4.932883,3,NaN
4,Blocks,0,0,1,0.3333333,0,0.3333333,0.5773503,3,NaN
5,Blocks,1,0,12,2.8,1.5,11.95556,3.457681,10,NaN
6,Blocks,3.25,1,10,5.5,5.5,40.5,6.363961,2,0.4394969869215134
7,Blocks,0.25,0,1,0.5,0.5,0.5,0.7071068,2,NaN
8,Blocks,0.5,0,6,2.333333,2,5.466667,2.33809,6,NaN
9,Blocks,1.75,1,3,2.25,2.5,0.9166667,0.9574271,4,0.9455305560363263
10,Blocks,3.5,2,8,5,5,18,4.242641,2,0.7219280948873623
11,Blocks,0,-1,172,4.100629,2,223.4961,14.94979,159,NaN
12,Blocks,1.25,1,2,1.5,1.5,0.5,0.7071068,2,0.9182958340544896
13,Blocks,0.25,0,1,0.5,0.5,0.5,0.7071068,2,NaN
14,Blocks,66,1,261,131,131,33800,183.8478,2,0.03615786754989353
15,Blocks,1.5,1,5,2.666667,2,4.333333,2.081666,3,0.8194483718728035
16,Blocks,0,0,0,0,0,0,0,3,NaN
17,Blocks,4.25,1,80,26.625,15.5,842.2679,29.02185,8,0.7384982585098516
18,Blocks,1.75,1,4,2.5,2.5,4.5,2.12132,2,0.7219280948873623
19,Blocks,1.25,1,2,1.5,1.5,0.5,0.7071068,2,0.9182958340544896
20,Blocks,0.75,0,3,1.5,1.5,1.666667,1.290994,4,NaN
21,Blocks,0,0,1,0.5,0.5,0.3333333,0.5773503,4,NaN
22,Blocks,3.25,2,7,4.5,4.5,12.5,3.535534,2,0.7642045065086203
23,Blocks,0,0,0,0,0,0,0,2,NaN
24,Blocks,0.5,0,2,1,1,2,1.414214,2,NaN
25,Blocks,3,3,4,3.333333,3,0.3333333,0.5773503,3,0.9911594714322186
26,Blocks,1.5,1,2,1.666667,2,0.3333333,0.5773503,3,0.9602297178607612
27,Blocks,1,0,4,2,2,8,2.828427,2,NaN
28,Blocks,2,2,7,3.666667,2,8.333333,2.886751,3,0.826074224242703
29,Blocks,0.5,0,2,1,1,2,1.414214,2,NaN
30,Blocks,1,1,3,1.666667,1,1.333333,1.154701,3,0.8649735207179273
31,Blocks,1,1,4,2,1,3,1.732051,3,0.7896900821428475
32,Blocks,1.25,1,2,1.5,1.5,0.5,0.7071068,2,0.9182958340544896
33,Blocks,0,-1,38,2.826087,1,63.1502,7.94671,23,NaN
34,Blocks,0,0,45,3.567568,1,97.08559,9.853202,37,NaN
35,Blocks,1.5,1,6,3,2,7,2.645751,3,0.7725068857142602
36,Blocks,3,2,6,4,4,8,2.828427,2,0.8112781244591328
37,Blocks,1.5,1,3,2,2,2,1.414214,2,0.8112781244591328
38,Blocks,0.5,0,26,9,1,217,14.73092,3,NaN
39,Blocks,1.75,1,4,2.5,2.5,4.5,2.12132,2,0.7219280948873623
40,Blocks,0,0,2,0.6,0,0.8,0.8944272,5,NaN
41,Blocks,0,0,0,0,0,0,0,2,NaN
42,Blocks,1,0,3,1.666667,2,2.333333,1.527525,3,NaN
43,Blocks,0,0,0,0,0,0,0,2,NaN
44,Blocks,1,1,1,1,1,0,0,2,1
45,Blocks,1.75,0,7,3.5,3.5,24.5,4.949747,2,NaN
46,Blocks,1,1,14,6.5,5.5,43,6.557439,4,0.6863304387305446
47,Blocks,0.25,0,1,0.5,0.5,0.5,0.7071068,2,NaN
48,Blocks,1,1,1,1,1,0,0,2,1
49,Blocks,1,1,5,2.333333,1,5.333333,2.309401,3,0.72483409150576
50,Blocks,1,0,5,2.2,2,3.7,1.923538,5,NaN
51,Blocks,2,2,2,2,2,0,0,3,1
52,Blocks,0.25,0,1,0.5,0.5,0.5,0.7071068,2,NaN
53,Blocks,0.75,0,3,1.5,1.5,4.5,2.12132,2,NaN
54,Blocks,1.25,1,2,1.5,1.5,0.5,0.7071068,2,0.9182958340544896
55,Blocks,1,-1,4,1.333333,1,1.75,1.322876,9,NaN
56,Blocks,0,0,8,1.896552,1,4.810345,2.19325,29,NaN
57,Blocks,0,0,1,0.3333333,0,0.3333333,0.5773503,3,NaN
58,Blocks,1.25,0,5,2.4,2,2.711111,1.646545,10,NaN
59,Blocks,0,-1,4,1.333333,1,6.333333,2.516611,3,NaN
60,Blocks,1.25,1,2,1.5,1.5,0.5,0.7071068,2,0.9182958340544896
61,Blocks,1,0,1,0.8,1,0.2,0.4472136,5,NaN
62,Blocks,2.25,2,3,2.5,2.5,0.5,0.7071068,2,0.9709505944546686
63,Blocks,1.25,1,2,1.5,1.5,0.5,0.7071068,2,0.9182958340544896
64,Blocks,0.25,0,1,0.5,0.5,0.5,0.7071068,2,NaN
65,Blocks,1,1,1,1,1,0,0,2,1
66,Blocks,3.5,1,122,20.85714,4,1992.476,44.63716,7,0.37120794515473465
67,Blocks,0.75,0,13,4,1.5,36.66667,6.055301,4,NaN
68,Blocks,0,0,4,1.6,1,3.3,1.81659,5,NaN
69,Blocks,0.5,0,2,1,1,2,1.414214,2,NaN
70,Blocks,1.25,1,2,1.5,1.5,0.5,0.7071068,2,0.9182958340544896
71,Blocks,0.25,0,1,0.5,0.5,0.5,0.7071068,2,NaN
72,Blocks,0.25,0,1,0.5,0.5,0.5,0.7071068,2,NaN
73,Blocks,0.5,0,47,16,1,721,26.85144,3,NaN
74,Blocks,0.5,0,3,1.333333,1,2.333333,1.527525,3,NaN
75,Blocks,0.5,0,3,1.285714,1,1.238095,1.112697,7,NaN
76,Blocks,0,0,2,1,1,1.333333,1.154701,4,NaN
77,Blocks,1.5,1,35,12.66667,2,374.3333,19.3477,3,0.29714035089888163
78,Blocks,4,4,9,5.666667,4,8.333333,2.886751,3,0.926262155095312
79,Blocks,1,1,1,1,1,0,0,2,1
80,Blocks,0.5,0,2,1,1,2,1.414214,2,NaN
81,Blocks,2,2,2,2,2,0,0,2,1
82,Blocks,1.5,1,2,1.666667,2,0.3333333,0.5773503,3,0.9602297178607612
83,Blocks,1.5,1,3,2,2,2,1.414214,2,0.8112781244591328
84,Blocks,1,1,2,1.25,1,0.25,0.5,4,0.9609640474436811
85,Blocks,0.25,0,1,0.5,0.5,0.5,0.7071068,2,NaN
86,Blocks,1,1,12,4.666667,1,40.33333,6.350853,3,0.463436782324667
87,Blocks,2,2,2,2,2,0,0,2,1
88,Blocks,2,1,5,3,3,8,2.828427,2,0.6500224216483541
89,Blocks,0.5,0,1,0.6666667,1,0.3333333,0.5773503,3,NaN
90,Blocks,1.25,1,2,1.5,1.5,0.5,0.7071068,2,0.9182958340544896
91,Blocks,6,5,9,7,7,8,2.828427,2,0.9402859586706311
92,Blocks,0.5,-1,6,2.142857,2,5.809524,2.410295,7,NaN
93,Blocks,0,-2,5,1,0.5,5.6,2.366432,6,NaN
94,Blocks,1,1,6,3,2.5,4.285714,2.070197,8,0.8965993966936628
95,Blocks,2.5,2,6,3.666667,3,4.333333,2.081666,3,0.9056185178648963
96,Blocks,1.25,1,2,1.5,1.5,0.5,0.7071068,2,0.9182958340544896
97,Blocks,1,1,1,1,1,0,0,2,1
98,Blocks,1.5,1,3,2,2,2,1.414214,2,0.8112781244591328
99,Blocks,2.5,2,5,3.333333,3,2.333333,1.527525,3,0.9372305632161296
100,Blocks,0,-1,5,1,0,4.8,2.19089,6,NaN
101,Blocks,0.75,0,3,1.5,1.5,4.5,2.12132,2,NaN
102,Blocks,0.25,0,1,0.5,0.5,0.5,0.7071068,2,NaN
103,Blocks,2.25,2,3,2.5,2.5,0.5,0.7071068,2,0.9709505944546686
104,Blocks,0,0,0,0,0,0,0,2,NaN
105,Blocks,0.75,0,5,2,1.5,4.666667,2.160247,4,NaN
106,Blocks,0.5,0,7,2,1,6,2.44949,7,NaN
107,Blocks,0.75,0,3,1.5,1.5,4.5,2.12132,2,NaN
108,Blocks,1.5,1,3,2,2,2,1.414214,2,0.8112781244591328
109,Blocks,2.75,2,5,3.5,3.5,4.5,2.12132,2,0.863120568566631
110,Blocks,0.5,0,2,1,1,2,1.414214,2,NaN
111,Blocks,0.5,0,2,1,1,2,1.414214,2,NaN
112,Blocks,5.5,1,19,10,10,162,12.72792,2,0.28639695711595625
113,Blocks,0.25,0,1,0.5,0.5,0.5,0.7071068,2,NaN
114,Blocks,0.25,0,1,0.5,0.5,0.5,0.7071068,2,NaN
115,Blocks,2,1,3,2.2,2,0.7,0.83666,5,0.9609557933859342
116,Blocks,1,1,62,16.5,1.5,920.3333,30.337,4,0.21037758055811864
117,Blocks,3,2,6,4,4,8,2.828427,2,0.8112781244591328
118,Blocks,21.5,2,80,41,41,3042,55.15433,2,0.1654270339962668
119,Blocks,0.75,0,6,2,1,7.333333,2.708013,4,NaN
120,Blocks,0,0,1,0.2,0,0.2,0.4472136,5,NaN
121,Blocks,2.75,2,5,3.5,3.5,4.5,2.12132,2,0.863120568566631
122,Blocks,3.25,3,4,3.5,3.5,0.5,0.7071068,2,0.9852281360342515
123,Blocks,1,0,14,3.4,1,35.3,5.94138,5,NaN
124,Blocks,0,0,0,0,0,0,0,3,NaN
125,Blocks,1,1,1,1,1,0,0,2,1
126,Blocks,3.5,3,5,4,4,2,1.414214,2,0.954434002924965
127,Blocks,13.5,1,51,26,26,1250,35.35534,2,0.1370994788998177
128,Blocks,0.5,0,7,2.666667,1,14.33333,3.785939,3,NaN
129,Blocks,3.25,2,7,4.5,4.5,12.5,3.535534,2,0.7642045065086203
130,Blocks,1.75,0,7,3.5,3.5,24.5,4.949747,2,NaN
131,Blocks,1,0,4,2,2,8,2.828427,2,NaN
132,Blocks,6.75,6,9,7.5,7.5,4.5,2.12132,2,0.9709505944546686
133,Blocks,1.75,1,4,2.5,2.5,1.666667,1.290994,4,0.9232196723355077
134,Blocks,3,2,6,4,4,8,2.828427,2,0.8112781244591328
135,Blocks,1.25,1,2,1.5,1.5,0.5,0.7071068,2,0.9182958340544896
136,Blocks,2,1,5,3,3,8,2.828427,2,0.6500224216483541
137,Blocks,0.75,0,3,1.5,1.5,4.5,2.12132,2,NaN
138,Blocks,1,0,20,5.166667,1,61.36667,7.833688,6,NaN
139,Blocks,2.5,2,4,3,3,2,1.414214,2,0.9182958340544896
140,Blocks,0,0,4,1.25,0.5,3.583333,1.892969,4,NaN
141,Blocks,1.25,1,2,1.5,1.5,0.5,0.7071068,2,0.9182958340544896
142,Blocks,0.75,0,7,2.5,1.5,9.666667,3.109126,4,NaN
143,Blocks,2,2,2,2,2,0,0,2,1
144,Blocks,0.25,0,3,1.166667,1,1.366667,1.169045,6,NaN
145,Blocks,3,3,3,3,3,0,0,2,1
146,Blocks,6.75,3,18,10.5,10.5,112.5,10.6066,2,0.5916727785823275
147,Blocks,0.5,0,12,4.333333,1,44.33333,6.658328,3,NaN
148,Blocks,2.5,1,7,4.25,4.5,7.583333,2.753785,4,0.8697270982459452
149,Blocks,0,0,2,0.6666667,0,1.333333,1.154701,3,NaN
150,Blocks,1,1,1,1,1,0,0,2,1
151,Blocks,0,0,0,0,0,0,0,2,NaN
152,Blocks,2,2,2,2,2,0,0,2,1
153,Blocks,3,0,12,6,6,72,8.485281,2,NaN
154,Blocks,1.5,1,4,2.333333,2,2.333333,1.527525,3,0.8699155297736259
155,Blocks,1,0,4,1.5,1,1.9,1.378405,6,NaN
156,Blocks,1.5,1,3,2,2,2,1.414214,2,0.8112781244591328
157,Blocks,2,2,7,3.2,2,4.7,2.167948,5,0.9042492561839792
158,Blocks,0,0,0,0,0,0,0,2,NaN
159,Blocks,1,0,5,2.333333,2,6.333333,2.516611,3,NaN
160,Blocks,0,0,0,0,0,0,0,2,NaN
161,Blocks,1.5,1,3,2,2,2,1.414214,2,0.8112781244591328
162,Blocks,0.25,0,1,0.5,0.5,0.5,0.7071068,2,NaN
163,Blocks,2.25,1,6,3.5,3.5,12.5,3.535534,2,0.5916727785823275
164,Blocks,1.25,1,2,1.5,1.5,0.5,0.7071068,2,0.9182958340544896
165,Blocks,1,1,2,1.333333,1,0.3333333,0.5773503,3,0.9463946303571862
166,Blocks,11.25,0,45,22.5,22.5,1012.5,31.81981,2,NaN
167,Blocks,0.5,0,2,1,1,1,1,3,NaN
168,Blocks,0,0,0,0,0,0,0,2,NaN
169,Blocks,1,0,40,8.8,1,304.7,17.45566,5,NaN
170,Blocks,1.25,1,2,1.5,1.5,0.5,0.7071068,2,0.9182958340544896
171,Blocks,1.25,1,2,1.5,1.5,0.5,0.7071068,2,0.9182958340544896
172,Blocks,0,0,24,5.4,1,108.8,10.43072,5,NaN
173,Blocks,0.75,0,54,14.25,1.5,702.9167,26.51258,4,NaN
174,Blocks,1,0,3,1.8,2,1.7,1.30384,5,NaN
175,Blocks,0.25,0,1,0.5,0.5,0.5,0.7071068,2,NaN
176,Blocks,1.5,1,4,2.333333,2,2.333333,1.527525,3,0.8699155297736259
177,Blocks,0,0,3,1,0.5,2,1.414214,4,NaN
178,Blocks,1.75,1,83,22,2,1654,40.6694,4,0.2005778956720875
179,Blocks,2,2,5,3,2,3,1.732051,3,0.9057125980138372
180,Blocks,0.5,0,2,1,1,1,1,3,NaN
181,Blocks,0.5,0,6,2.333333,1,10.33333,3.21455,3,NaN
182,Blocks,0.5,0,2,1,1,2,1.414214,2,NaN
183,Blocks,1,0,4,2,2,8,2.828427,2,NaN
184,Blocks,0.25,0,7,2,1.5,6.8,2.607681,6,NaN
185,Blocks,18.25,1,70,35.5,35.5,2380.5,48.79037,2,0.10679203237584187
186,Blocks,0.75,0,7,3,2.5,10,3.162278,4,NaN
187,Blocks,8.25,6,20,12.5,12,39,6.244998,4,0.9311178863955345
188,Blocks,2.5,1,7,4,4,18,4.242641,2,0.5435644431995964
189,Blocks,0,0,2,0.6666667,0,1.333333,1.154701,3,NaN
190,Blocks,1.25,1,2,1.5,1.5,0.5,0.7071068,2,0.9182958340544896
191,Blocks,8,1,29,15,15,392,19.79899,2,0.21084230031853213
192,Blocks,0.75,0,4,1.75,1.5,2.916667,1.707825,4,NaN
193,Blocks,0,0,5,1.25,1,2.204545,1.484771,12,NaN
194,Blocks,1.5,1,3,2,2,2,1.414214,2,0.8112781244591328
195,Blocks,0,0,0,0,0,0,0,2,NaN
196,Blocks,0,0,4,1.333333,0,5.333333,2.309401,3,NaN
197,Blocks,0.75,0,3,1.5,1.5,4.5,2.12132,2,NaN
198,Blocks,3,3,3,3,3,0,0,2,1
199,Blocks,0.5,0,1,0.6666667,1,0.3333333,0.5773503,3,NaN
200,Blocks,0,0,0,0,0,0,0,2,NaN
201,Blocks,1,0,4,2,2,8,2.828427,2,NaN
202,Blocks,0.25,0,1,0.5,0.5,0.5,0.7071068,2,NaN
203,Blocks,0,0,6,2,1,8,2.828427,4,NaN
204,Blocks,0.25,0,1,0.5,0.5,0.5,0.7071068,2,NaN
205,Blocks,1,1,1,1,1,0,0,2,1
206,Blocks,26,1,101,51,51,5000,70.71068,2,0.07949044238393407
207,Blocks,1.5,-1,10,4.333333,4,30.33333,5.507571,3,NaN
208,Blocks,21,3,75,39,39,2592,50.91169,2,0.23519338181924143
209,Blocks,1.25,1,2,1.5,1.5,0.5,0.7071068,2,0.9182958340544896
210,Blocks,0.75,0,3,1.5,1.5,4.5,2.12132,2,NaN
211,Blocks,18.75,11,42,26.5,26.5,480.5,21.92031,2,0.7367680100024783
212,Blocks,2.25,0,9,4.5,4.5,40.5,6.363961,2,NaN
213,Blocks,0.75,0,2,1,1,0.6666667,0.8164966,4,NaN
214,Blocks,0.75,0,3,1.5,1.5,4.5,2.12132,2,NaN
215,Blocks,0.25,0,1,0.5,0.5,0.5,0.7071068,2,NaN
216,Blocks,8.25,3,24,13.5,13.5,220.5,14.84924,2,0.5032583347756457
217,Blocks,0,0,0,0,0,0,0,2,NaN
218,Blocks,7.75,1,28,14.5,14.5,364.5,19.09188,2,0.21639693245126462
219,Blocks,1.75,1,4,2.5,2.5,4.5,2.12132,2,0.7219280948873623
220,Blocks,1,1,2,1.333333,1,0.3333333,0.5773503,3,0.9463946303571862
221,Blocks,0.5,0,2,1,1,2,1.414214,2,NaN
222,Blocks,1,0,40,6.666667,2,167.25,12.93252,9,NaN
223,Blocks,4.5,3,9,6,6,18,4.242641,2,0.8112781244591328
224,Blocks,1,1,1,1,1,0,0,2,1
225,Blocks,2,0,7,2.6,2,6.8,2.607681,5,NaN
226,Blocks,1,0,9,3.666667,2,22.33333,4.725816,3,NaN
227,Blocks,1,1,3,1.714286,2,0.5714286,0.7559289,7,0.957742056202218
228,Blocks,3,2,6,4,4,8,2.828427,2,0.8112781244591328
229,Blocks,1,1,1,1,1,0,0,2,1
230,Blocks,1,1,10,4,1,27,5.196152,3,0.5152734452350943
231,Blocks,0,0,3,1,0.5,2,1.414214,4,NaN
232,Blocks,0.25,0,1,0.5,0.5,0.5,0.7071068,2,NaN
233,Blocks,10.5,6,24,15,15,162,12.72792,2,0.7219280948873623
234,Blocks,3.25,0,13,6.5,6.5,84.5,9.192388,2,NaN
235,Blocks,1,1,2,1.333333,1,0.3333333,0.5773503,3,0.9463946303571862
236,Blocks,1.25,1,2,1.5,1.5,0.5,0.7071068,2,0.9182958340544896
237,Blocks,1,1,56,12.6,1,590.3,24.29609,5,0.2963926979392404
238,Blocks,1.75,1,4,2.5,2.5,4.5,2.12132,2,0.7219280948873623
239,Blocks,0.25,0,4,1.666667,1.5,2.666667,1.632993,6,NaN
240,Blocks,1,1,1,1,1,0,0,2,1
241,Blocks,2.75,0,11,5.5,5.5,60.5,7.778175,2,NaN
242,Blocks,1.5,0,5,2.25,2,4.25,2.061553,4,NaN
243,Blocks,1,0,5,2,2,3.5,1.870829,5,NaN
244,Blocks,1.5,0,6,3,3,18,4.242641,2,NaN
245,Blocks,0,0,3,1,1,1.5,1.224745,5,NaN
246,Blocks,0,0,0,0,0,0,0,2,NaN
247,Blocks,9,9,9,9,9,0,0,2,1
248,Blocks,-0.5,-1,1,0,0,2,1.414214,2,NaN
249,Blocks,0.25,0,1,0.5,0.5,0.5,0.7071068,2,NaN
250,Blocks,9,6,18,12,12,72,8.485281,2,0.8112781244591328
251,Blocks,4.25,2,11,6.5,6.5,40.5,6.363961,2,0.6193821946787638
252,Blocks,13.75,3,46,24.5,24.5,924.5,30.40559,2,0.3322866302216151
253,Blocks,8.25,1,30,15.5,15.5,420.5,20.5061,2,0.205592508185083
254,Blocks,0.5,0,17,6,1,91,9.539392,3,NaN
255,Blocks,10.5,1,39,20,20,722,26.87006,2,0.16866093149667025
256,Blocks,2.5,2,4,3,3,2,1.414214,2,0.9182958340544896
257,Blocks,7,5,13,9,9,32,5.656854,2,0.8524051786494786
258,Blocks,1,1,51,17.66667,1,833.3333,28.86751,3,0.1700664204727554
259,Blocks,1.5,1,8,3.666667,2,14.33333,3.785939,3,0.6913698302025114
260,Blocks,4.25,3,8,5.5,5.5,12.5,3.535534,2,0.8453509366224364
261,Blocks,0.25,0,1,0.5,0.5,0.5,0.7071068,2,NaN
262,Blocks,7.25,0,29,14.5,14.5,420.5,20.5061,2,NaN
263,Blocks,5,5,5,5,5,0,0,2,1
264,Blocks,3,1,5,3.666667,5,5.333333,2.309401,3,0.8508642289005679
265,Blocks,8.75,0,35,17.5,17.5,612.5,24.74874,2,NaN
266,Blocks,2,0,13,5.666667,4,44.33333,6.658328,3,NaN
267,Blocks,8.5,1,31,16,16,450,21.2132,2,0.20062232431271465
268,Blocks,1.25,1,2,1.5,1.5,0.5,0.7071068,2,0.9182958340544896
269,Blocks,27,1,105,53,53,5408,73.53911,2,0.07701687574298335
